Date	Price	Open	High	Low	Vol.	Change %
2017/5/25	126.17	126.19	126.25	126.05	2.43M	0.09
2017/5/24	126.06	125.88	126.22	125.77	2.30M	0.16
2017/5/23	125.86	126.09	126.34	125.81	1.67M	-0.21
2017/5/22	126.12	126.23	126.27	126.05	986.02K	-0.06
2017/5/19	126.19	126.28	126.36	126.05	1.23M	-0.07
2017/5/18	126.28	126.44	126.72	126.16	2.33M	-0.11
2017/5/17	126.42	125.55	126.45	125.55	2.43M	0.69
2017/5/16	125.55	125.44	125.72	125.28	1.29M	0.08
2017/5/15	125.45	125.53	125.64	125.34	928.49K	-0.02
2017/5/12	125.47	125.02	125.59	124.98	1.40M	0.44
2017/5/11	124.92	124.8	125.05	124.72	1.27M	0.09
2017/5/10	124.81	124.89	125.17	124.78	1.18M	-0.02
2017/5/9	124.83	124.95	125.06	124.75	1.09M	-0.18
2017/5/8	125.06	125.09	125.42	124.94	1.17M	-0.13
2017/5/5	125.22	125.16	125.34	124.86	1.32M	0.04
2017/5/4	125.17	125.47	125.48	125.06	1.25M	-0.3
2017/5/3	125.55	125.78	125.83	125.41	1.17M	-0.12
2017/5/2	125.7	125.53	125.81	125.34	997.05K	0.18
2017/5/1	125.47	125.72	125.8	125.33	948.94K	-0.2
2017/4/28	125.72	125.66	125.75	125.28	1.67M	0.06
2017/4/27	125.64	125.59	125.78	125.44	1.42M	0.06
2017/4/26	125.56	125.36	125.62	125.22	1.51M	0.12
2017/4/25	125.41	125.81	125.86	125.27	1.12M	-0.31
2017/4/24	125.8	125.47	125.86	125.2	1.55M	-0.21
2017/4/21	126.06	126.02	126.28	125.91	1.05M	0.09
2017/4/20	125.95	126.22	126.34	125.83	1.21M	-0.26
2017/4/19	126.28	126.58	126.59	126.09	1.20M	-0.19
2017/4/18	126.52	125.88	126.62	125.81	1.44M	0.48
2017/4/17	125.91	126.23	126.41	125.81	804.49K	-0.13
2017/4/13	126.08	125.97	126.25	125.75	1.33M	0.49
2017/4/12	125.47	125.48	126	125.36	1.37M	-0.01
2017/4/11	125.48	124.88	125.56	124.88	1.49M	0.46
2017/4/10	124.91	124.77	125.05	124.62	947.72K	0.08
2017/4/7	124.81	125.12	125.78	124.72	2.07M	-0.25
2017/4/6	125.12	125.2	125.3	124.94	1.08M	0.06
2017/4/5	125.05	124.92	125.3	124.75	1.48M	0.02
2017/4/4	125.03	125.2	125.36	124.89	1.27M	0
2017/4/3	125.03	124.59	125.23	124.5	1.56M	0.38
2017/3/31	124.56	124.33	124.62	124.23	1.53M	0.18
2017/3/30	124.34	124.62	124.69	124.27	1.06M	-0.19
2017/3/29	124.58	124.28	124.66	124.2	1.21M	0.18
2017/3/28	124.36	124.64	124.83	124.27	1.35M	-0.25
2017/3/27	124.67	124.42	124.92	124.42	1.14M	0.11
